,n,coef,se,t,p,effect_1sd
prop / between_firm / without_pre_vol,1495.0,8.339028908578117,2.0420719965207543,4.083611607615209,4.434111795942204e-05,0.04953018415091819
prop / between_firm / with_pre_vol,1495.0,5.830287072672619,1.6382001433090083,3.558958956563143,0.00037232770512470845,0.034629354991819
prop / within_firm / without_pre_vol,1495.0,-1.5144059804678114,1.228821440111166,-1.2324052389017643,0.21779774490495252,-0.008994909109220515
prop / within_firm / with_pre_vol,1495.0,-1.5552211470329493,1.2008821621456858,-1.2950655743392387,0.1952976093996206,-0.009237333345697516
tfidf / between_firm / without_pre_vol,1495.0,0.005798040305385555,0.001397232911357136,4.149659128594318,3.3297074701153646e-05,0.06406581547295459
tfidf / between_firm / with_pre_vol,1495.0,0.004055168428565537,0.0011186427435076836,3.625079098846077,0.00028887302219843144,0.04480784171419364
tfidf / within_firm / without_pre_vol,1495.0,-0.0001218473387010164,0.0008871111601122417,-0.1373529543756384,0.8907518154865208,-0.001346359926101069
tfidf / within_firm / with_pre_vol,1495.0,-8.701102119383958e-05,0.0008628622585643171,-0.10083998961620343,0.919677481495842,-0.0009614338180333125
